N,P,K,temperature,humidity,ph,rainfall,label
62,50,37,23.766807062814742,81.87304837903989,7.415702646764797,167.01642647878657,jute
20,45,16,29.93964907,54.61813464,4.626212446,45.43669946,mothbeans
7,17,10,10.16431299,91.22320999,6.465913274,106.362551,orange
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
59,70,84,17.3348681,18.74926979,7.550808267000001,82.61734721,chickpea
117,20,44,25.699279540892515,85.00942499039513,6.118168962859115,53.238422288682,watermelon
8,73,17,21.014342877199528,20.652787682655553,5.662806368121396,89.40779220685481,kidneybeans
23,5,44,21.20725375,94.26304717,7.16300467,107.5660804,pomegranate
109,36,18,25.40059227,76.53237965,7.524707577,62.51388670000001,cotton
140,36,24,23.092551184039774,78.95830246895504,7.670193613633094,91.43791041540165,cotton
40,69,76,19.429901034995115,15.88421827046135,7.108342759997462,80.80099235366994,chickpea
26,127,202,32.99514997282382,80.8593972811095,5.782865099066102,73.68356029932104,grapes
2,31,30,26.621775818999208,93.86253499560786,6.185969253792243,207.3403865001256,coconut
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
31,6,26,29.12859129,91.30924833,5.741367375,157.2388553,coconut
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,grapes
96,38,35,27.25935932864714,67.48362524322948,6.263101032106958,194.19898293353128,coffee
20,72,19,32.47648301,64.34848735,7.397190844,65.82045699999999,blackgram
29,16,36,20.154751197640223,87.81447957928269,5.708930050295353,102.97176415352449,pomegranate
41,74,18,28.75751783,61.02701476,6.599147297999999,73.37686831,blackgram
4,70,20,19.512046903327583,49.04115585895056,5.4822989419229975,151.65868454077378,pigeonpeas
94,88,48,28.97083370962303,88.05337242618292,5.475485513337193,110.00060362965777,banana
4,47,20,25.97948991,64.95585424,4.193189124,72.19245835,mothbeans
2,30,30,26.00175125,94.79998418,6.331051715,209.540094,coconut
22,67,22,29.03017561,64.49166566,7.475926645,54.93937710000001,lentil
6,144,198,21.11478672,90.31528693,5.559363609,104.5086618,apple
11,61,21,18.62328774,23.02410338,5.532100554,135.33780330000002,kidneybeans
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,chickpea
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana
37,36,27,27.552973600000005,47.90859131,5.910634533,90.40332704,mango
32,18,13,14.270695130545523,90.7013476308303,5.816410704306595,110.07940024008934,orange
31,20,26,25.672977193180486,97.251746926975,6.488043634934212,195.67138573592274,coconut
71,69,44,33.21998934777416,92.75105150350473,6.770478155639725,199.99512337662173,papaya
95,37,35,27.31317116,68.42333909999999,6.348337518999998,192.4288139,coffee
21,134,202,10.72302459,80.02130636,6.425419926,65.29821120000001,grapes
88,39,30,25.258983787560638,57.679880839237846,6.828973867047188,155.6349898585584,coffee
28,76,21,25.95071555146237,49.32075794161909,6.003647396874023,115.484656977123,pigeonpeas
27,76,84,21.706071362575763,14.461359743682078,6.76154599325608,84.59001073864869,chickpea
40,65,18,28.54420349751239,65.95512960444336,6.706230819214422,63.05947479686806,blackgram
57,67,79,17.252886056993283,16.874587684829056,7.97766066995085,78.1712113645848,chickpea
116,81,55,26.42313317,83.69950440000002,5.915546415,95.12322062,banana
40,21,8,34.90665289,92.87820148,7.418761774,102.1906333,orange
129,47,20,24.41212325,80.80343786,6.281913857999999,98.60457373,cotton
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,mungbean
34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,apple
62,50,50,40.589460259601786,95.29049643471238,6.676931042064663,122.11394659727678,papaya
20,127,202,23.177380549092337,91.30649499297517,5.758217003446704,116.78513528408641,apple
37,144,197,11.18994268,80.8084305,6.415555956,66.34234944,grapes
29,140,203,29.466097585538296,82.17912814633729,5.840351373564405,68.14511644827152,grapes
38,62,25,32.7477393,67.77954584,7.453975408,63.37784443,blackgram
127,37,18,24.87663664,76.30050373,7.041065585,91.9223468,cotton
38,132,197,20.42094753,81.54185044,5.931101816,66.93065667,grapes
41,5,32,25.214761771558607,98.60434248986562,6.1277693742248704,142.50338466411455,coconut
84,62,22,20.933020803216586,62.47333329420255,6.3525383334085745,62.4235886850303,maize
101,25,53,25.438105821688094,85.1370535626667,6.298155860094008,49.590462805419826,watermelon
20,7,9,29.47741671,91.57802915,7.1291369410000005,111.1727497,orange
36,136,201,21.592397607775727,77.71651481637926,6.277394672237265,68.15569764220228,grapes
66,58,35,23.5643831,79.46283115,7.321619041,185.25947,jute
112,28,54,24.86094646,85.05318563,6.738030547,55.29563514,watermelon
28,130,196,22.13450646,94.67695747,6.062356467000001,112.9203223,apple
77,39,24,25.02591649544273,54.5634366729528,6.822737206664425,64.54011200175322,maize
28,122,205,20.48395556980305,82.88062579698948,5.841539807768675,70.57196638476249,grapes
6,137,210,17.571958269336847,81.78173049492766,6.420959256256971,69.3954634565769,grapes
99,7,44,27.027908926984008,94.45749060115523,6.19754432806233,26.808252897985888,muskmelon
36,142,194,22.517587049119143,93.20196115815239,6.391949550050098,104.10247738374929,apple
16,8,9,24.60297538,91.28408653,7.601189842999999,111.2948115,orange
73,58,22,18.237161989646005,65.64684126078858,6.7210268496112935,79.2859368742619,maize
32,47,46,29.53674020802176,95.39249075829869,6.8011352522588355,211.90666727026482,papaya
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
21,62,24,33.49077065,62.73317204,6.8473828910000005,65.45328463,blackgram
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
106,49,24,23.03887865,76.47039772,6.983395572999999,90.64770699,cotton
32,13,35,29.78393861735284,92.96135128710432,6.361583724882526,145.8277228351322,coconut
32,132,196,22.057185530272818,93.56251724021614,5.683622723365821,120.56719752646495,apple
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,blackgram
111,40,18,24.213197033489003,76.6148651336279,6.202329010397738,82.22145478488295,cotton
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
59,73,16,32.49068905018497,66.27400170251119,6.9062916116505715,64.36398118100713,blackgram
16,149,197,23.05610131302003,96.6211597906053,5.795223284011867,113.90032884575427,apple
40,71,74,16.66427758159807,17.02194310182531,7.447509134932231,87.61193708911104,chickpea
8,15,33,28.450110103728896,97.42611110282708,5.647590845627756,212.62404453669618,coconut
20,49,22,31.977672843112256,47.42219438870688,9.509180031278552,38.921996127751015,mothbeans
69,67,53,27.326888335759755,93.84212246644539,6.816063782592788,84.43605871371616,papaya
20,144,200,11.236693111997749,80.35568525200057,6.49340469610647,70.37176660593018,grapes
25,45,17,29.592620953913965,78.46714235791917,6.557017711165769,49.22487958948443,mungbean
18,125,203,22.44307715,91.59234006,6.160267496,102.5565807,apple
37,5,34,25.79490531,93.84150618,5.779032666,152.42387119999995,coconut
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice
6,140,198,25.901646715648884,82.05832435788295,6.281920772455086,72.50664237066206,grapes
28,66,23,21.53989176,24.25386207,5.99616119,120.6913038,kidneybeans
33,31,34,31.32995611,50.22287593,5.421265282999999,89.78216168,mango
101,32,31,26.047205465835987,59.12078226217101,6.955964049382612,143.2759814024366,coffee
123,50,16,23.04920461,75.53835214,6.498052108,70.65644296,cotton
98,58,41,22.591462773786137,87.86516933562405,6.699041658044084,165.3863853018388,jute
43,79,79,19.40751744,18.98030507,7.8067476560000015,80.25064637,chickpea
95,75,50,28.08166093,75.26429821,5.623615687000001,118.2761894,banana
92,40,30,23.35723208,55.18792166,6.026287448,171.6976946,coffee
50,65,25,29.287170527562868,64.10462553994199,6.8499089890159714,69.33528752873261,blackgram
114,40,23,25.53676123,81.13668716,6.7539780610000015,95.4262599,cotton
62,46,54,25.25900959566058,93.02633235496351,6.842738721200212,184.82972364420877,papaya
68,52,49,24.446288810143624,89.53308990489937,6.541484092301706,63.612267928425794,papaya
24,6,33,28.242309487253625,89.01076413514271,6.425991127208899,171.03763093833695,coconut
122,26,48,27.655080826456846,94.2367518179149,6.487581904580205,26.491908497555215,muskmelon
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton
30,13,32,27.513475116317125,95.81518227088452,5.867287597101974,202.22604639275602,coconut
32,12,30,25.39241091,98.08951196,5.579845008,218.080385,coconut
99,11,47,28.853889101351662,93.9225920174745,6.139110961227786,24.08262544605021,muskmelon
12,142,203,31.3115978,82.56407013,5.972850837999999,65.01095312,grapes
19,5,11,20.941292634837495,89.55453215409602,6.420806093517149,105.21634661863418,orange
5,21,39,23.413476856207453,92.27356394233703,6.300831035965884,112.94195435578088,pomegranate
94,27,27,25.181239980715553,50.141321773359955,7.269615136063135,196.8760002043726,coffee
27,64,15,20.16080524,24.84207559,5.514927264,138.2362122,kidneybeans
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
89,58,35,23.98651719,82.09053379,6.096838784,167.0576456,jute
5,55,24,24.526141779765734,44.60665882780567,5.11490664188453,191.31909972346548,pigeonpeas
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,grapes
39,24,39,23.65374106,93.32657504,6.431265737,109.8076178,pomegranate
26,139,200,34.67239318803108,80.48766401941428,5.702524513309209,73.0152804901943,grapes
5,55,17,33.84675882130938,45.672046336622465,7.393895497814052,124.5178765125307,pigeonpeas
100,40,20,22.45145981,76.25674874,7.432043735,86.84998693,cotton
37,27,27,25.52410170576882,94.62356518633293,6.227766462485205,169.7964370586273,coconut
4,68,26,24.41228353449741,24.825732986481842,5.975147732074122,118.4056135698771,kidneybeans
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
32,57,18,15.53834801,23.75560241,5.695422862999999,107.3850593,kidneybeans
0,17,30,35.47478322,47.97230503,6.279133738,97.79072474,mango
54,66,52,36.56769731,93.79503425,6.867554147000001,104.4218596,papaya
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,mothbeans
15,28,32,28.84270971,99.64328526,6.2185718739999984,224.4016682,coconut
10,135,198,21.04291371223234,92.46763597168726,6.299359764381126,99.52643392321849,apple
31,68,52,32.935663730440524,96.32283792877179,6.7003199607766115,253.50506781057786,papaya
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
5,8,5,11.03367937,92.22706805,6.562594972,112.7715925,orange
19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,mothbeans
40,22,29,27.55821802,99.98187601,5.735364307,174.62564809999995,coconut
59,37,16,18.737323225398786,66.03757370360796,6.402766405650574,74.4118301547937,maize
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,kidneybeans
0,27,37,22.081109091230807,91.08202789473029,6.907710406529446,106.03852539245956,pomegranate
21,40,21,27.18663172021514,80.18711057430369,6.935527724074576,47.91389874331904,mungbean
15,11,39,22.697462695993682,90.95245682575612,6.59981288346348,106.699921761022,pomegranate
22,144,196,21.91191314,91.68748063,6.4992268210000015,117.0761277,apple
17,20,26,31.527136694556688,53.67282031689937,5.535075897006839,88.80924054391674,mango
39,68,18,34.901222525280986,64.65626000027024,7.864312866298,70.90700371648488,blackgram
10,24,27,27.379135950800073,94.7940156614922,5.821148424213916,146.1167940997369,coconut
34,142,200,21.028105409015833,90.69396546932965,5.858220977204561,123.64599880710308,apple
80,30,25,26.24092174,65.64381357,7.487266991,148.37712019999995,coffee
95,88,50,29.721892195552808,77.22121182585454,6.1986766640634,93.34023416075796,banana
18,9,41,19.20602792492268,88.14508150792084,5.56290493458991,104.40210816165417,pomegranate
33,12,8,25.767498027176327,93.53867839690102,6.966837159579061,121.58165658258912,orange
26,18,31,31.62193952746794,50.39411016752294,6.166397731584098,98.16318755249756,mango
27,124,193,22.608022697167023,95.22966158398869,5.6640660728578185,104.15896595102487,apple
143,41,17,22.662431029505075,77.21110153750864,5.929374595116814,74.4929966669038,cotton
40,5,29,28.600815175978312,96.74169243931813,5.771697609288374,163.75921719428771,coconut
91,46,37,21.115349615572182,81.88067844388542,6.541457472059555,300.7772684465706,rice
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
1,48,24,28.818623397617973,86.34337804628633,6.440422515709449,58.53960769996865,mungbean
110,10,50,25.835783118436314,87.31075634002241,6.728941938588204,43.969441108062604,watermelon
114,94,53,26.33544853,76.8532006,6.190757458999999,118.6858263,banana
14,8,42,22.06803421828515,94.72444108464366,6.965573667644078,108.00348206809781,pomegranate
2,56,23,26.65333029,59.79023382,7.550090941,36.91852635,mothbeans
120,82,53,28.924605576299758,75.24552628393545,5.5451817313347185,97.04793484199934,banana
133,52,18,23.491961602339412,77.16005929565495,8.131216937799667,74.92898797548084,cotton
90,83,56,27.079628994999286,75.30548252558751,6.359055610458204,93.89341174668881,banana
99,6,45,26.12588914,86.5507939,6.000975617000001,40.71210074,watermelon
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea
19,31,30,28.995841133950897,94.3369245643117,5.822721793060767,224.85032326028505,coconut
93,5,54,29.00967077783494,93.43362842501972,5.96391239358553,26.71184235715185,muskmelon
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea
17,55,19,18.884187238414594,45.90300672115345,6.475504683008774,195.1426764022921,pigeonpeas
83,18,47,27.453365903834033,92.72188212109985,6.771433351918694,25.663234587814845,muskmelon
109,39,26,24.381334320944646,84.49086541443003,6.156991946881732,90.2436785490314,cotton
2,132,199,22.376554341727605,90.44870966853311,6.016906331589024,126.70657629467287,apple
28,23,28,30.01821337,50.09831810000001,5.676032581,96.08745082,mango
31,48,44,40.23118895583846,93.23873603744724,6.473788825280019,137.7859347733386,papaya
87,49,21,24.97346035040202,69.2344037665923,6.325204641160505,73.88348901893845,maize
33,57,23,35.42666405941603,70.34970799734208,5.080047905215696,106.03409562001286,pigeonpeas
8,23,45,18.142391174865477,90.29691542698865,7.085199651344827,108.26180485719314,pomegranate
16,7,8,23.119218188781513,95.97518736866212,6.411083150273142,118.46657773024894,orange
73,42,44,23.23980084606526,75.66774995231097,6.506647284861662,157.4175741594767,jute
34,147,198,22.283582804226526,95.18589542115133,6.1877723555996385,111.39095504761383,apple
14,74,15,27.34340632357598,64.98935396805648,6.4321522107690585,48.59279019072519,lentil
11,46,23,27.89110519238319,89.50169479772099,6.188058924352205,57.214200202416045,mungbean
31,75,26,29.502980966188563,43.08549699922495,6.215289806599601,154.00308767356103,pigeonpeas
78,50,43,25.12417673,85.72530641,6.348441469,159.5718087,jute
104,36,19,22.486654034224905,78.43184465891147,7.275641388284905,63.66714131255772,cotton
28,7,9,34.616212183741666,92.1478610102018,6.734204551086671,111.39649460960992,orange
35,52,15,28.69841277,61.14754363,9.93509073,65.67591794,mothbeans
9,8,15,14.34320488,94.35734702,7.994465371,110.22231229999998,orange
88,21,27,24.159361581983053,66.3843433724918,7.121478294316092,183.03626955275297,coffee
29,11,5,23.328277788523618,92.60721020713333,7.627776699296542,104.70860969939707,orange
37,18,12,10.2708877,90.19147747,7.401121811,106.69552040000002,orange
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,blackgram
8,50,21,28.601000640604198,90.10538429566964,6.221104092333829,51.09656439479407,mungbean
34,58,22,23.65412209595368,21.429493177542895,5.869740712507294,121.56225684523314,kidneybeans
76,59,39,24.393188482775535,92.0446240165046,6.6951389287801115,195.2527985509579,jute
115,6,50,27.771483728291557,87.98614166099561,6.78336352621661,25.484781056356745,muskmelon
13,72,20,30.18162362928022,35.152442793920585,5.092445896727086,168.53940322662484,pigeonpeas
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,grapes
79,29,31,25.450134841018937,51.09375527086799,6.891722059689656,142.53983735172923,coffee
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
107,26,52,29.02075572675685,94.5988193304277,6.245932437647871,26.409125770261884,muskmelon
27,21,30,35.3915464,52.48823147,5.061081874,91.22881052,mango
33,29,34,31.40948821,49.21729127,6.832979508999999,92.99739415,mango
10,37,23,28.57975320040063,90.14684618594511,7.219070292123382,59.83801399551982,mungbean
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
105,89,56,25.758081546302616,83.33510904453196,6.046196390993529,115.81769898032523,banana
10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,apple
3,18,31,31.65333432,48.20662669,6.392313972999999,91.09745581,mango
59,56,77,17.133503119166534,18.841559507783963,9.042351758371572,66.60980552319424,chickpea
0,16,30,35.73248757211169,49.18647943066896,6.246350751671781,100.3602811606501,mango
71,54,35,26.73661126119126,71.51030562370472,7.402469141864413,200.60434187812547,jute
14,25,40,20.07386547,90.97819712,6.407872061,103.7084055,pomegranate
10,5,42,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate
84,51,43,25.00029061016893,82.79031771270829,6.174027278878583,178.9681384981077,rice
29,76,15,27.90728556591778,64.01900056034637,6.9906617597113145,71.60463191294653,blackgram
16,146,200,25.92290783987175,79.64226954956497,5.769725178816134,69.57837663457431,grapes
119,37,32,23.613461817558942,65.39266607006556,6.658281579143307,167.17489337880363,coffee
70,51,24,22.608000834588907,71.70157756197584,6.840616080854376,108.36152547386571,maize
7,79,23,19.6365349,19.68751084,5.821649914,96.65888933,kidneybeans
38,51,52,32.66160599,90.78931681,6.927803911,78.85085502,papaya
38,63,25,32.36185742868467,67.9223591002026,7.550043493779957,63.69526241399815,blackgram
77,57,21,24.374144758743142,71.28691815654213,6.299200840447578,81.52739799942607,maize
1,55,23,23.067308059506825,20.69810759929035,5.662202809419686,145.19058353117242,kidneybeans
27,59,20,28.00937423,52.60950014,4.397698806,36.01203025,mothbeans
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana
29,76,15,28.541723600000005,64.2020154,7.0256077060000015,69.68862306,blackgram
30,68,22,29.18033858622141,64.49018494902262,6.52483984028417,63.92862849144836,blackgram
7,21,34,25.485145929657644,92.91610566209818,5.85735322621345,130.47938154977965,coconut
83,7,44,28.8012434116212,92.5034193195613,6.968814660434502,25.675135609847846,muskmelon
28,46,16,27.895886929639946,87.02066803190885,6.336180001339599,42.93710250559115,mungbean
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,pigeonpeas
120,87,52,28.0764455,76.05522115,5.905494703,118.99235729999998,banana
99,27,28,25.004864358165403,52.22677292492084,7.4787937886959694,202.9790204623619,coffee
8,131,194,20.699144002577565,78.93972519666025,6.363237307036128,71.63068067065308,grapes
24,79,76,17.33007307981169,15.330676211333426,7.322003370940529,66.54590588736947,chickpea
13,64,20,19.1345771,62.57526895,6.590571088,36.46946971,lentil
91,44,39,24.54701908220421,84.87159431191786,7.609063455913881,248.73935707158543,rice
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
77,51,44,23.25583402,82.7015932,7.124333547000001,166.2160846,jute
7,72,25,27.470730981726593,62.27929255635601,7.352104379618733,46.08366380124187,lentil
11,14,5,11.57053323248958,95.52947515077511,6.866558596846078,115.19323217472537,orange
75,36,24,22.85873447110789,58.159584824554926,5.810235156968144,67.10476790812885,maize
33,74,23,29.088832574305336,59.39150503943815,5.998908812247673,102.23567567492842,pigeonpeas
37,24,13,19.14381903,90.71037456,7.8546243,108.0230792,orange
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,kidneybeans
121,46,22,22.48248075480889,78.97782404447752,6.410929727589877,65.20596808580204,cotton
13,30,37,20.86474944,91.61793636,6.277148771,106.8685636,pomegranate
6,72,15,22.55855116681124,64.94860912601517,7.819259878600401,53.74473560758904,lentil
71,46,35,25.526297633924468,83.9928065810059,5.843817837674076,193.09105381332972,rice
97,26,51,28.243404688338437,92.42581685943439,6.143260213869401,24.211234536400465,muskmelon
30,123,199,38.49769832926625,83.820003048989,6.110985327833159,65.84111905677223,grapes
136,42,21,24.193263388711326,82.06363601038043,7.800342804623152,89.07032620552596,cotton
39,148,197,37.32245988886123,83.63689316974435,5.864684466679403,72.19757271265541,grapes
20,54,22,27.645682940988614,79.28411156328485,6.725181455149379,42.53175792349174,mungbean
81,22,52,26.033291638347023,91.03583273019984,6.671408381541069,58.11184995541965,watermelon
37,135,204,22.286289330924482,90.68875724890815,5.639687521708752,105.59938333314443,apple
111,36,19,22.340544002254564,77.99657769867389,7.198387983483942,64.85088496634442,cotton
1,49,24,29.948982762755666,84.39489765042977,6.171219551725509,57.79900805821426,mungbean
114,5,51,25.178560367552173,79.3544902552026,6.500950066885455,53.5543145464839,watermelon
13,126,204,23.1094265,92.79630809,6.3831802710000005,108.183792,apple
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,blackgram
70,54,46,39.73149053,91.12220596,6.919342407,122.7628653,papaya
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice
56,44,45,42.143688278925865,90.58024523511408,6.848182145457294,88.98736949556852,papaya
9,76,25,28.907374853176222,49.73100257915926,5.77508106110163,175.0006204108012,pigeonpeas
2,38,18,27.53632932,89.92908171,6.619891497999999,45.48591922,mungbean
118,31,34,27.54823036,62.88179198,6.123796057000001,181.4170812,coffee
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes
20,46,22,29.66205941856069,90.27977106365711,6.937699702067457,56.08545378156302,mungbean
70,50,53,37.4620912,90.44967809,6.933809742999999,172.3458448,papaya
31,8,7,34.51465139,93.63812684,7.163245982,103.5684926,orange
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice
37,78,78,19.92420034618485,14.891284309824368,7.503091529862633,89.45253860195545,chickpea
17,64,17,21.02213209,24.93896255,5.662699104,124.6118471,kidneybeans
43,50,49,28.512644540300226,89.78851279133774,6.771625459016773,180.42248285739348,papaya
85,38,42,25.606461703706383,80.31483087541666,6.640316627355942,169.92429087431537,jute
49,53,16,28.054393603511663,65.62031512371111,7.543744417364954,63.15043829244568,blackgram
126,37,21,25.84997269,84.16855231,6.61448588,77.03421249,cotton
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,mango
59,47,53,32.86316618,91.4618874,6.8506632320000005,47.271547,papaya
37,72,18,18.87614998,24.54038287,5.724242065,105.4120514,kidneybeans
111,29,31,26.05968403,52.31098539,6.136286518,161.3432535,coffee
1,61,23,16.047887591365726,18.29199459482314,5.582585653270079,140.18223111620404,kidneybeans
88,41,38,23.617055499497017,75.42372112549168,6.082600223054153,199.21879191020054,jute
23,36,23,29.786891335868475,44.115680531470524,8.082888170608571,32.76616175758323,mothbeans
40,22,29,26.739773515036465,103.5813649733532,5.776394083226051,176.94514887957084,coconut
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,mothbeans
29,142,196,21.938549291552338,93.18123976192854,5.886278805682929,122.4108385422198,apple
68,42,16,21.906421203240065,57.15132295318033,6.225806375649336,99.25823798849142,maize
34,65,47,23.48546973,93.71043692,6.833768535,191.7760562,papaya
88,35,35,27.55906475,58.45742907,6.784460602,117.9389993,coffee
29,72,86,18.586584182810835,19.131998074907298,6.387454776651198,71.77925170224438,chickpea
58,55,46,25.920932722613657,98.93724883784934,6.773272168368381,240.92092837279344,papaya
75,54,36,25.86999014062989,86.84062982098447,7.064433028465341,259.4018020978777,rice
6,70,19,26.40631237033643,39.651622492478744,4.8975085287759486,92.23484254274973,pigeonpeas
117,86,53,25.19640218,83.55829874,5.703381727999999,115.8586081,banana
26,35,31,32.93164494205048,53.843030080962876,5.459319033799929,97.61822147958385,mango
20,50,21,31.156604411759666,45.51001770735053,9.315023364871639,38.70795855799555,mothbeans
34,80,19,31.49338309,63.0563645,6.521217963,71.48327008,blackgram
21,63,22,25.09737391,67.72837887,6.859409487000001,74.61649888,blackgram
34,10,14,32.7258975966761,86.68038381341155,6.861234738445958,116.14244125395734,orange
35,56,20,26.118123618483512,47.478476118491585,7.238809941527373,31.817605024673526,mothbeans
21,6,42,23.965319432043188,86.55380938124705,7.1050073036851105,109.3706892866268,pomegranate
67,55,44,26.284017,75.14640198,7.251847296,182.2685447,jute
87,58,23,19.857083084101443,64.51328636499443,6.383523976633305,63.15106710597282,maize
8,45,15,27.954657680809223,59.321265281391064,4.63662365990104,33.69396295579349,mothbeans
103,16,49,24.06731461,81.64075303,6.915717008,51.75212401,watermelon
115,18,53,29.17052093,94.19790371,6.0124803510000016,22.06994464,muskmelon
5,68,19,18.562974190211595,62.266098678718045,5.251281675770022,138.301312078486,pigeonpeas
6,69,15,22.259954052672214,67.83136033047921,7.536300797104983,52.91354525565308,lentil
6,69,18,24.263614600147125,60.80750668982539,6.605253835125005,48.63197782935497,lentil
18,23,44,23.71028128,89.61794165,6.184400085,105.64999070000002,pomegranate
62,40,45,24.11368820941045,84.25036302178857,6.524633767897262,163.36392729683243,jute
45,60,78,19.0269166114021,15.929338370870495,6.482426580175842,79.8675783835437,chickpea
76,45,36,24.287341484417556,76.3463006041723,6.771415522067688,182.64751815269378,jute
91,44,16,18.759269051771692,65.32412264002221,6.106299119140075,95.03660108943619,maize
21,80,20,27.537064342972222,69.12653411398689,7.287330132683764,63.786491954766234,blackgram
11,59,21,19.334784855242,23.044300518997876,5.652892541138001,134.87373539346123,kidneybeans
111,5,55,27.296779565282765,86.47700523891308,6.8156042018341205,56.17948171268183,watermelon
36,78,19,27.264798626255697,69.26887154309759,7.022359730359772,68.35261207092113,blackgram
4,19,43,18.07132963,93.14554876,5.7794274020000005,106.3602023,pomegranate
35,67,44,44.40175748050317,89.34979059142213,6.882323916956808,234.78256588849067,papaya
20,67,23,25.11692722136914,62.92847469916825,7.6969487903603335,62.34308778132058,blackgram
34,59,22,17.880457353951662,18.423311082924773,5.56763790927853,99.67510194893096,kidneybeans
26,62,15,25.05093984128788,67.27841622676506,7.07336563132076,47.46168534796613,lentil
24,27,34,29.1301899185427,96.4447745862767,6.129812462795447,147.8843093369572,coconut
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram
